id,gpa,undergrad_school,app_school,gmat,gre,ielts,toefl
33215,3.9,中央财经大学,波士顿大学,,317,7,99
55899,2.75,RutgersUniversity--NewBrunswick,波士顿大学,,295,,
55898,3.8,外交学院,波士顿大学,,325,,
55886,3.52,北京理工大学,波士顿大学,,,,
55871,3.6,清华大学,波士顿大学,,320,,110
55856,3.6,SkidmoreCollege,波士顿大学,,320,,
55840,3.8,浙江大学,波士顿大学,,320,,
55837,3.25,浙江大学,波士顿大学,,325,,105
55836,3.7,浙江大学,波士顿大学,,,,100
55831,3.9,温州肯恩大学,波士顿大学,,320,,100
55786,2.75,北京大学,波士顿大学,,320,,100
33057,3.4,中国传媒大学,波士顿大学,,321,,100
33039,3.1,天津医科大学,波士顿大学,,321,,102
32845,3.5,中国药科大学,波士顿大学,,318,,112
32837,3.4,华东政法大学,波士顿大学,,,6.5,
32825,3.4,湖北第二师范学院,波士顿大学,,322,,102
32824,3.2,哈尔滨工业大学,波士顿大学,,320,,89
32823,3.1,中国石油大学(北京),波士顿大学,,320,,91
32822,3.2,成都理工大学,波士顿大学,,328,,103
32815,3.1,黑龙江大学,波士顿大学,,330,,100
32808,3.6,西南大学,波士顿大学,,317,,97
32807,3.5,北京交通大学,波士顿大学,,336,,108
32780,3.4,南开大学,波士顿大学,,,,99
32774,3.5,北京航空航天大学,波士顿大学,,321,,101
32769,3.4,北京石油化工学院,波士顿大学,,302,,98
32710,3.3,江西财经大学,波士顿大学,,301,,86
32694,3.8,北京师范大学,波士顿大学,,332,,110
32686,3.9,中山大学,波士顿大学,,,,103
32683,3.7,南开大学,波士顿大学,,329,,106
32534,3.4,南开大学,波士顿大学,,323,,100
32512,3.4,华中科技大学,波士顿大学,,310,,100
32504,3.26,天津大学,波士顿大学,,319,7,
31900,3.5,北京国际工商管理学院,波士顿大学,,,,92
31840,3.6,澳门大学,波士顿大学,,321,,108
31819,3.5,长沙理工大学,波士顿大学,,319,,90
31814,3.6,香港树仁大学,波士顿大学,,,,102
31807,2.7,西安建筑科技大学,波士顿大学,,310,,90
31789,3.68,上海交通大学,波士顿大学,,,,98
31788,2.6,上海交通大学,波士顿大学,,314,,84
31718,3.9,澳门理工学院,波士顿大学,,,,93
31698,1.3,澳门大学,波士顿大学,,,,103
31694,3.8,澳门大学,波士顿大学,,320,,106
31597,3,广东外语外贸大学,波士顿大学,,,,90
31584,3.5,北京交通大学,波士顿大学,,323,,105
31583,3.7,北京科技大学,波士顿大学,,326,,102
31576,3.5,华南师范大学,波士顿大学,,,,92
31535,3.8,中国地质大学,波士顿大学,,320,,97
31254,3.8,中南大学,波士顿大学,,325,,90
31151,2.4,上海大学,波士顿大学,,327,,103
31137,3.3,山东大学,波士顿大学,,,,102
31119,3.3,青岛科技大学,波士顿大学,,325,,94
30994,3.1,北京林业大学,波士顿大学,,,6.5,
30981,3.6,北京航空航天大学,波士顿大学,,,,104
30969,3.2,UniversityofWashington,波士顿大学,,,,
30930,3.7,中国传媒大学,波士顿大学,,324,,111
30928,3.5,中国传媒大学,波士顿大学,680,,,90
30809,3.1,上海财经大学,波士顿大学,,313,,97
30769,2.8,华东师范大学,波士顿大学,,,,94
30709,4,澳门大学,波士顿大学,,,,105
30456,3.8,北京师范大学,波士顿大学,,326,,109
30437,3.5,华中农业大学,波士顿大学,,319,,101
30410,3,中央民族大学,波士顿大学,,315,,100
30360,3.42,加州大学戴维斯分校,波士顿大学,,315,,
